tenant_id,customer_name,industry,region,tier,contract_amount_cny,contract_count,knowledge_base_count,model_call_count_30d,storage_used_gb,last_active_at,status,compliance_note
NM-T-0001,浦银金融科技有限公司,金融,华东,enterprise,1280000,2,8,456200,124.5,2026-06-19 14:30:00,active,合规审查通过
NM-T-0002,仁济医疗健康集团,医疗,华东,enterprise,2680000,3,12,892300,456.8,2026-06-19 09:10:00,active,受限数据训练已审批
NM-T-0003,启明教育科技股份有限公司,教育,华北,premium,560000,1,5,234100,78.3,2026-06-18 09:55:00,active,常规
NM-T-0004,鲜丰连锁零售集团,零售,华东,premium,890000,2,7,567800,156.2,2026-06-01 10:20:00,active,常规
NM-T-0005,中远智能制造股份有限公司,制造,华南,enterprise,1750000,2,9,345600,201.7,2026-05-28 15:45:00,active,常规
NM-T-0006,华电新能源科技有限公司,能源,华中,strategic,4200000,4,18,1234500,678.9,2026-06-12 11:10:00,active,关键基础设施训练审批中
NM-T-0007,招银消费金融有限公司,金融,华南,premium,780000,1,6,423100,98.4,2026-04-30 13:50:00,active,常规
NM-T-0008,同济医院,医疗,华东,enterprise,960000,1,4,189400,67.2,2026-05-15 09:30:00,active,医疗数据去标识化
NM-T-0009,新东方在线教育,教育,华北,strategic,5300000,5,22,1567800,892.3,2026-06-08 14:05:00,active,未成年人内容复核中
NM-T-0010,永辉超市股份有限公司,零售,华东,enterprise,1120000,2,8,678900,178.5,2026-05-22 10:40:00,active,常规
NM-T-0011,三一重工股份有限公司,制造,华中,enterprise,1480000,2,7,234500,145.6,2026-04-18 16:25:00,active,常规
NM-T-0012,国家电网信息通信分公司,能源,华北,strategic,6800000,6,28,2345600,1234.5,2026-06-15 09:15:00,active,关键基础设施审批通过
NM-T-0013,平安养老保险股份有限公司,金融,华南,enterprise,920000,1,5,345200,89.1,2026-05-30 11:35:00,active,常规
NM-T-0014,美年大健康产业集团,医疗,华东,premium,1050000,2,6,267800,112.4,2026-04-25 15:00:00,active,医疗数据去标识化
NM-T-0015,好未来教育科技,教育,华北,premium,760000,1,4,198300,56.7,2026-06-02 10:55:00,active,常规
NM-T-0016,名创优品股份有限公司,零售,华南,premium,640000,1,3,156700,45.3,2026-05-08 14:20:00,active,常规
NM-T-0017,美的集团股份有限公司,制造,华南,strategic,8500000,7,32,2890400,1567.8,2026-06-10 09:40:00,active,多模态数据审批中
NM-T-0018,中石油昆仑能源,能源,西北,enterprise,1320000,2,8,312400,167.3,2026-04-12 15:55:00,active,常规
NM-T-0019,兴业银行股份有限公司,金融,华东,enterprise,1100000,2,7,478900,134.6,2026-05-25 10:10:00,active,常规
NM-T-0020,联影医疗科技股份有限公司,医疗,华东,strategic,9600000,8,35,3120500,1892.4,2026-06-14 16:30:00,active,核心客户训练数据已归档 audit_id=audit-2026-006
